seed,evaluator,method,negative_score_fraction,uniform_fallback_cohort_fraction
4101,sample_frequency,shapley,0.0625,0.0
4101,sample_frequency,leave_one_out,0.4375,0.0
4101,sample_frequency,data_size,0.0,0.0
4101,equal_class,shapley,0.0625,0.0
4101,equal_class,leave_one_out,0.5,0.0
4101,equal_class,data_size,0.0,0.0
4101,equal_subject,shapley,0.0625,0.0
4101,equal_subject,leave_one_out,0.375,0.0
4101,equal_subject,data_size,0.0,0.0
4102,sample_frequency,shapley,0.125,0.0
4102,sample_frequency,leave_one_out,0.4375,0.0
4102,sample_frequency,data_size,0.0,0.0
4102,equal_class,shapley,0.0625,0.0
4102,equal_class,leave_one_out,0.375,0.0
4102,equal_class,data_size,0.0,0.0
4102,equal_subject,shapley,0.125,0.0
4102,equal_subject,leave_one_out,0.4375,0.0
4102,equal_subject,data_size,0.0,0.0
4103,sample_frequency,shapley,0.0625,0.0
4103,sample_frequency,leave_one_out,0.375,0.0
4103,sample_frequency,data_size,0.0,0.0
4103,equal_class,shapley,0.0,0.0
4103,equal_class,leave_one_out,0.3125,0.0
4103,equal_class,data_size,0.0,0.0
4103,equal_subject,shapley,0.0625,0.0
4103,equal_subject,leave_one_out,0.3125,0.0
4103,equal_subject,data_size,0.0,0.0
4104,sample_frequency,shapley,0.0,0.0
4104,sample_frequency,leave_one_out,0.4375,0.0
4104,sample_frequency,data_size,0.0,0.0
4104,equal_class,shapley,0.0625,0.0
4104,equal_class,leave_one_out,0.4375,0.0
4104,equal_class,data_size,0.0,0.0
4104,equal_subject,shapley,0.0625,0.0
4104,equal_subject,leave_one_out,0.4375,0.0
4104,equal_subject,data_size,0.0,0.0
4105,sample_frequency,shapley,0.0625,0.0
4105,sample_frequency,leave_one_out,0.3125,0.0
4105,sample_frequency,data_size,0.0,0.0
4105,equal_class,shapley,0.0,0.0
4105,equal_class,leave_one_out,0.5,0.0
4105,equal_class,data_size,0.0,0.0
4105,equal_subject,shapley,0.0625,0.0
4105,equal_subject,leave_one_out,0.3125,0.0
4105,equal_subject,data_size,0.0,0.0
4106,sample_frequency,shapley,0.0625,0.0
4106,sample_frequency,leave_one_out,0.3125,0.0
4106,sample_frequency,data_size,0.0,0.0
4106,equal_class,shapley,0.0625,0.0
4106,equal_class,leave_one_out,0.25,0.0
4106,equal_class,data_size,0.0,0.0
4106,equal_subject,shapley,0.125,0.0
4106,equal_subject,leave_one_out,0.3125,0.0
4106,equal_subject,data_size,0.0,0.0
4107,sample_frequency,shapley,0.125,0.0
4107,sample_frequency,leave_one_out,0.3125,0.0
4107,sample_frequency,data_size,0.0,0.0
4107,equal_class,shapley,0.125,0.0
4107,equal_class,leave_one_out,0.375,0.0
4107,equal_class,data_size,0.0,0.0
4107,equal_subject,shapley,0.125,0.0
4107,equal_subject,leave_one_out,0.3125,0.0
4107,equal_subject,data_size,0.0,0.0
4108,sample_frequency,shapley,0.0,0.0
4108,sample_frequency,leave_one_out,0.25,0.0
4108,sample_frequency,data_size,0.0,0.0
4108,equal_class,shapley,0.125,0.0
4108,equal_class,leave_one_out,0.375,0.0
4108,equal_class,data_size,0.0,0.0
4108,equal_subject,shapley,0.0625,0.0
4108,equal_subject,leave_one_out,0.3125,0.0
4108,equal_subject,data_size,0.0,0.0
4109,sample_frequency,shapley,0.0625,0.0
4109,sample_frequency,leave_one_out,0.4375,0.0
4109,sample_frequency,data_size,0.0,0.0
4109,equal_class,shapley,0.125,0.0
4109,equal_class,leave_one_out,0.3125,0.0
4109,equal_class,data_size,0.0,0.0
4109,equal_subject,shapley,0.0625,0.0
4109,equal_subject,leave_one_out,0.4375,0.0
4109,equal_subject,data_size,0.0,0.0
4110,sample_frequency,shapley,0.1875,0.0
4110,sample_frequency,leave_one_out,0.4375,0.0
4110,sample_frequency,data_size,0.0,0.0
4110,equal_class,shapley,0.0625,0.0
4110,equal_class,leave_one_out,0.375,0.0
4110,equal_class,data_size,0.0,0.0
4110,equal_subject,shapley,0.1875,0.0
4110,equal_subject,leave_one_out,0.4375,0.0
4110,equal_subject,data_size,0.0,0.0
